architecture,condition,snr_db,label,class_name,baseline_precision,baseline_recall,baseline_f1,baseline_support,augmented_precision,augmented_recall,augmented_f1,augmented_support,precision_delta,recall_delta,f1_delta
cnn,snr_0db,0.0,8,siren,0.8461538461538461,0.1325301204819277,0.2291666666666666,83,0.9411764705882352,0.1927710843373494,0.32,83,0.09502262443438902,0.060240963855421714,0.0908333333333334
cnn,snr_0db,0.0,9,street_music,0.4557823129251701,0.67,0.5425101214574899,100,0.6320754716981132,0.67,0.6504854368932039,100,0.1762931587729431,0.0,0.10797531543571404
crnn,clean,,0,air_conditioner,0.7070707070707071,0.7,0.7035175879396985,100,0.8524590163934426,0.52,0.6459627329192547,100,0.1453883093227355,-0.17999999999999994,-0.057554855020443885
crnn,clean,,1,car_horn,0.935483870967742,0.8787878787878788,0.90625,33,0.6590909090909091,0.8787878787878788,0.7532467532467533,33,-0.27639296187683293,0.0,-0.15300324675324672
crnn,clean,,2,children_playing,0.7017543859649122,0.8,0.7476635514018691,100,0.5194805194805194,0.8,0.6299212598425197,100,-0.1822738664843928,0.0,-0.11774229155934945
crnn,clean,,3,dog_bark,0.8452380952380952,0.71,0.7717391304347826,100,0.8536585365853658,0.7,0.7692307692307693,100,0.008420441347270602,-0.010000000000000009,-0.0025083612040133207
crnn,clean,,4,drilling,0.6390977443609023,0.85,0.7296137339055794,100,0.6608695652173913,0.76,0.7069767441860465,100,0.021771820856488988,-0.08999999999999997,-0.022636989719532874
crnn,clean,,5,engine_idling,0.8831168831168831,0.7311827956989247,0.8,93,0.8378378378378378,0.6666666666666666,0.7425149700598802,93,-0.04527904527904525,-0.06451612903225812,-0.057485029940119836
crnn,clean,,6,gun_shot,0.9411764705882352,1.0,0.9696969696969696,32,0.9142857142857144,1.0,0.9552238805970148,32,-0.026890756302520802,0.0,-0.014473089099954817
crnn,clean,,7,jackhammer,0.7843137254901961,0.8333333333333334,0.8080808080808081,96,0.8823529411764706,0.9375,0.9090909090909092,96,0.0980392156862745,0.10416666666666663,0.1010101010101011
crnn,clean,,8,siren,0.98,0.5903614457831325,0.7368421052631579,83,0.6463414634146342,0.6385542168674698,0.6424242424242425,83,-0.3336585365853658,0.04819277108433728,-0.0944178628389154
crnn,clean,,9,street_music,0.8141592920353983,0.92,0.863849765258216,100,0.875,0.77,0.8191489361702128,100,0.060840707964601726,-0.15000000000000002,-0.04470082908800321
crnn,snr_20db,20.0,0,air_conditioner,0.6907216494845361,0.67,0.6802030456852792,100,0.8571428571428571,0.48,0.6153846153846154,100,0.16642120765832102,-0.19000000000000006,-0.06481843030066381
crnn,snr_20db,20.0,1,car_horn,0.9545454545454546,0.6363636363636364,0.7636363636363637,33,0.6818181818181818,0.9090909090909092,0.7792207792207793,33,-0.2727272727272728,0.2727272727272728,0.01558441558441559
crnn,snr_20db,20.0,2,children_playing,0.5755395683453237,0.8,0.6694560669456067,100,0.5,0.81,0.6183206106870229,100,-0.07553956834532372,0.010000000000000009,-0.051135456258583734
crnn,snr_20db,20.0,3,dog_bark,0.8666666666666667,0.65,0.7428571428571429,100,0.8536585365853658,0.7,0.7692307692307693,100,-0.013008130081300862,0.04999999999999993,0.02637362637362639
crnn,snr_20db,20.0,4,drilling,0.625,0.85,0.7203389830508474,100,0.6440677966101694,0.76,0.6972477064220184,100,0.01906779661016944,-0.08999999999999997,-0.02309127662882904
crnn,snr_20db,20.0,5,engine_idling,0.8192771084337349,0.7311827956989247,0.7727272727272727,93,0.8735632183908046,0.8172043010752689,0.8444444444444444,93,0.05428610995706973,0.08602150537634412,0.07171717171717173
crnn,snr_20db,20.0,6,gun_shot,0.9393939393939394,0.96875,0.953846153846154,32,0.8648648648648649,1.0,0.927536231884058,32,-0.07452907452907453,0.03125,-0.026309921962096028
crnn,snr_20db,20.0,7,jackhammer,0.8125,0.8125,0.8125,96,0.9081632653061223,0.9270833333333334,0.9175257731958762,96,0.09566326530612235,0.11458333333333337,0.10502577319587625
crnn,snr_20db,20.0,8,siren,0.9772727272727272,0.5180722891566265,0.6771653543307087,83,0.734375,0.5662650602409639,0.6394557823129252,83,-0.24289772727272718,0.048192771084337394,-0.037709572017783466
crnn,snr_20db,20.0,9,street_music,0.7946428571428571,0.89,0.839622641509434,100,0.8764044943820225,0.78,0.8253968253968254,100,0.08176163723916541,-0.10999999999999999,-0.014225816112608647
crnn,snr_10db,10.0,0,air_conditioner,0.6595744680851063,0.62,0.6391752577319587,100,0.8181818181818182,0.54,0.6506024096385542,100,0.1586073500967119,-0.07999999999999996,0.01142715190659549
crnn,snr_10db,10.0,1,car_horn,0.85,0.5151515151515151,0.6415094339622641,33,0.6078431372549019,0.9393939393939394,0.7380952380952381,33,-0.24215686274509807,0.4242424242424243,0.09658580413297402
