experiment_id,architecture,training_condition,condition,snr_db,label,class_name,precision,recall,f1,support
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_0db,0.0,1,car_horn,0.3417721518987341,0.8181818181818182,0.4821428571428571,33
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_0db,0.0,2,children_playing,0.4183673469387755,0.82,0.5540540540540541,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_0db,0.0,3,dog_bark,0.821917808219178,0.6,0.6936416184971098,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_0db,0.0,4,drilling,0.7808219178082192,0.57,0.6589595375722543,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_0db,0.0,5,engine_idling,0.7222222222222222,0.5591397849462365,0.6303030303030303,93
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_0db,0.0,6,gun_shot,0.6530612244897959,1.0,0.7901234567901234,32
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_0db,0.0,7,jackhammer,0.8,0.625,0.7017543859649122,96
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_0db,0.0,8,siren,0.62,0.3734939759036144,0.4661654135338345,83
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_0db,0.0,9,street_music,0.711340206185567,0.69,0.700507614213198,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,clean,,0,air_conditioner,0.7070707070707071,0.7,0.7035175879396985,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,clean,,1,car_horn,0.935483870967742,0.8787878787878788,0.90625,33
crnn_baseline_run01_20260822t163312z,crnn,baseline,clean,,2,children_playing,0.7017543859649122,0.8,0.7476635514018691,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,clean,,3,dog_bark,0.8452380952380952,0.71,0.7717391304347826,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,clean,,4,drilling,0.6390977443609023,0.85,0.7296137339055794,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,clean,,5,engine_idling,0.8831168831168831,0.7311827956989247,0.8,93
crnn_baseline_run01_20260822t163312z,crnn,baseline,clean,,6,gun_shot,0.9411764705882352,1.0,0.9696969696969696,32
crnn_baseline_run01_20260822t163312z,crnn,baseline,clean,,7,jackhammer,0.7843137254901961,0.8333333333333334,0.8080808080808081,96
crnn_baseline_run01_20260822t163312z,crnn,baseline,clean,,8,siren,0.98,0.5903614457831325,0.7368421052631579,83
crnn_baseline_run01_20260822t163312z,crnn,baseline,clean,,9,street_music,0.8141592920353983,0.92,0.863849765258216,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_20db,20.0,0,air_conditioner,0.6907216494845361,0.67,0.6802030456852792,100
